flag=1 data=42
Iteration 199: flag=1, data=42
Iteration 200: flag=1, data=42
Iteration 201: flag=1, data=42
Iteration 202: flag=1, data=42
Iteration 203: flag=1, data=42
Iteration 204: flag=1, data=42
Iteration 205: flag=1, data=42
Iteration 206: flag=1, data=42
Iteration 207: flag=1, data=42
Iteration 208: flag=1, data=42
Iteration 209: flag=1, data=42
Iteration 210: flag=1, data=42
Iteration 211: flag=1, data=42
Iteration 212: flag=1, data=42
Iteration 213: flag=1, data=42
Iteration 214: flag=1, data=42
Iteration 215: flag=1, data=42
Iteration 216: flag=1, data=42
Iteration 217: flag=1, data=42
Iteration 218: flag=1, data=42
Iteration 219: flag=1, data=42
Iteration 220: flag=1, data=42
Iteration 221: flag=1, data=42
Iteration 222: flag=1, data=42
Iteration 223: flag=1, data=42
Iteration 224: flag=1, data=42
Iteration 225: flag=1, data=42
Iteration 226: flag=1, data=42
Iteration 227: flag=1, data=42
Iteration 228: flag=1, data=42
Iteration 229: flag=1, data=42
Iteration 230: flag=1, data=42
Iteration 231: flag=1, data=42
Iteration 232: flag=1, data=42
Iteration 233: flag=1, data=42
Iteration 234: flag=1, data=42
Iteration 235: flag=1, data=42
Iteration 236: flag=1, data=42
Iteration 237: flag=1, data=42
Iteration 238: flag=1, data=42
Iteration 239: flag=1, data=42
Iteration 240: flag=1, data=42
Iteration 241: flag=1, data=42
Iteration 242: flag=1, data=42
Iteration 243: flag=1, data=42
Iteration 244: flag=1, data=42
Iteration 245: flag=1, data=42
Iteration 246: flag=1, data=42
Iteration 247: flag=1, data=42
Iteration 248: flag=1, data=42
Iteration 249: flag=1, data=42
Iteration 250: flag=1, data=42
Iteration 251: flag=1, data=42
Iteration 252: flag=1, data=42
Iteration 253: flag=1, data=42
Iteration 254: flag=1, data=42
Iteration 255: flag=1, data=42
Iteration 256: flag=1, data=42
Iteration 257: flag=1, data=42
Iteration 258: flag=1, data=42
Iteration 259: flag=1, data=42
Iteration 260: flag=1, data=42
Iteration 261: flag=1, data=42
Iteration 262: flag=1, data=42
Iteration 263: flag=1, data=42
Iteration 264: flag=1, data=42
Iteration 265: flag=1, data=42
Iteration 266: flag=1, data=42
Iteration 267: flag=1, data=42
Iteration 268: flag=1, data=42
Iteration 269: flag=1, data=42
Iteration 270: flag=1, data=42
Iteration 271: flag=1, data=42
Iteration 272: flag=1, data=42
Iteration 273: flag=1, data=42
Iteration 274: flag=1, data=42
Iteration 275: flag=1, data=42
Iteration 276: flag=1, data=42
Iteration 277: flag=1, data=42
Iteration 278: flag=1, data=42
Iteration 279: flag=1, data=42
Iteration 280: flag=1, data=42
Iteration 281: flag=1, data=42
Iteration 282: flag=1, data=42
Iteration 283: flag=1, data=42
Iteration 284: flag=1, data=42
Iteration 285: flag=1, data=42
Iteration 286: flag=1, data=42
Iteration 287: flag=1, data=42
Iteration 288: flag=1, data=42
Iteration 289: flag=1, data=42
Iteration 290: flag=1, data=42
Iteration 291: flag=1, data=42
Iteration 292: flag=1, data=42
Iteration 293: flag=1, data=42
Iteration 294: flag=1, data=42
Iteration 295: flag=1, data=42
Iteration 296: flag=1, data=42
Iteration 297: flag=1, data=42
Iteration 298: flag=1, data=42
Iteration 299: flag=1, data=42
Iteration 300: flag=1, data=42
Iteration 301: flag=1, data=42
Iteration 302: flag=1, data=42
Iteration 303: flag=1, data=42
Iteration 304: flag=1, data=42
Iteration 305: flag=1, data=42
Iteration 306: flag=1, data=42
Iteration 307: flag=1, data=42
Iteration 308: flag=1, data=42
Iteration 309: flag=1, data=42
Iteration 310: flag=1, data=42
Iteration 311: flag=1, data=42
Iteration 312: flag=1, data=42
Iteration 313: flag=1, data=42
Iteration 314: flag=1, data=42
Iteration 315: flag=1, data=42
Iteration 316: flag=1, data=42
Iteration 317: flag=1, data=42
Iteration 318: flag=1, data=42
Iteration 319: flag=1, data=42
Iteration 320: flag=1, data=42
Iteration 321: flag=1, data=42
Iteration 322: flag=1, data=42
Iteration 323: flag=1, data=42
Iteration 324: flag=1, data=42
Iteration 325: flag=1, data=42
Iteration 326: flag=1, data=42
Iteration 327: flag=1, data=42
Iteration 328: flag=1, data=42
Iteration 329: flag=1, data=42
Iteration 330: flag=1, data=42
Iteration 331: flag=1, data=42
Iteration 332: flag=1, data=42
Iteration 333: flag=1, data=42
Iteration 334: flag=1, data=42
Iteration 335: flag=1, data=42
Iteration 336: flag=1, data=42
Iteration 337: flag=1, data=42
Iteration 338: flag=1, data=42
Iteration 339: flag=1, data=42
Iteration 340: flag=1, data=42
Iteration 341: flag=1, data=42
Iteration 342: flag=1, data=42
Iteration 343: flag=1, data=42
Iteration 344: flag=1, data=42
Iteration 345: flag=1, data=42
Iteration 346: flag=1, data=42
Iteration 347: flag=1, data=42
Iteration 348: flag=1, data=42
Iteration 349: flag=1, data=42
Iteration 350: flag=1, data=42
Iteration 351: flag=1, data=42
Iteration 352: flag=1, data=42
Iteration 353: flag=1, data=42
Iteration 354: flag=1, data=42
Iteration 355: flag=1, data=42
Iteration 356: flag=1, data=42
Iteration 357: flag=1, data=42
Iteration 358: flag=1, data=42
Iteration 359: flag=1, data=42
Iteration 360: flag=1, data=42
Iteration 361: flag=1, data=42
Iteration 362: flag=1, data=42
Iteration 363: flag=1, data=42
Iteration 364: flag=1, data=42
Iteration 365: flag=1, data=42
Iteration 366: flag=1, data=42
Iteration 367: flag=1, data=42
Iteration 368: flag=1, data=42
Iteration 369: flag=1, data=42
Iteration 370: flag=1, data=42
Iteration 371: flag=1, data=42
Iteration 372: flag=1, data=42
Iteration 373: flag=1, data=42
Iteration 374: flag=1, data=42
Iteration 375: flag=1, data=42
Iteration 376: flag=1, data=42
Iteration 377: flag=1, data=42
Iteration 378: flag=1, data=42
Iteration 379: flag=1, data=42
Iteration 380: flag=1, data=42
Iteration 381: flag=1, data=42
Iteration 382: flag=1, data=42
Iteration 383: flag=1, data=42
Iteration 384: flag=1, data=42
Iteration 385: flag=1, data=42
Iteration 386: flag=1, data=42
Iteration 387: flag=1, data=42
Iteration 388: flag=1, data=42
Iteration 389: flag=1, data=42
Iteration 390: flag=1, data=42
Iteration 391: flag=1, data=42
Iteration 392: flag=1, data=42
Iteration 393: flag=1, data=42
Iteration 394: flag=1, data=42
Iteration 395: flag=1, data=42
Iteration 396: flag=1, data=42
Iteration 397: flag=1, data=42
Iteration 398: flag=1, data=42
Iteration 399: flag=1, data=42
